信托,598
信服,1483
信步,1120
俭约,222
修复,105
修好,1065
修改,219
修整,223
修理,94
修筑,217
修缮,94
修葺,2526
修补,94
修长,77
修长,1923
修饰,471
倏地,358
倒退,352
倒霉,496
倚仗,2835
倚老卖老,1588
倚赖,111
借口,842
借据,2219
借条,2219
借贷,1388
借重,2095
借鉴,102
倡导,153
债务,1317
倾向,187
倾家荡产,2173
倾心,749
倾慕,749
倾注,2340
偃旗息鼓,1692
假充,896
假名,684
假名,1856
假想,146
假设,436
假话,717
假货,2130
假贷,1388
假造,898
偏向,268
偏向,1007
偏差,671
偏心,2297
偏护,131
偏激,1135
偏爱,2297
偏狭,1438
偏畸,156
偏袒,156
偕行,2002
做事,335
做作,1943
做官,2647
做客,1147
做生意,856
停业,223
停歇,223
停止,21
停止,223
停止,357
停滞,396
停滞,474
停火,482
停留,223
停航,542
停车,558
停顿,223
健壮,396
健康,396
健忘,781
健硕,123
偶尔,346
偶然,346
偶然性,2335
偷偷,1290
偷懒,2129
偷袭,2310
傍边,209
储藏,168
催讨,2181
像貌,1328
僧人,2900
僬侥,2239
僻静,272
儿女情长,275
允许,482
允诺,482
元凶,1874
元勋,475
元老,2630
兄弟,1411
充公,277
充分,919
充实,282
充实,919
充斥,919
充电,2928
充盈,919
充饥,2768
先人,1288
先人后己,2677
先入为主,3094
先父,2869
先生,429
先进,359
先驱,1569
光临,1164
光前裕后,3026
光华,1458
光头,2188
光怪陆离,1409
光景,653
光泽,1458
光辉,1458
光顾,1164
克制,209
克制,437
克尽厥职,1253
克己,311
克意,208
克日,17
克服,209
克服,437
免得,703
免税,224
免职,592
免费,759
党首,549
入不敷出,2345
入乡随俗,1307
入伍,1995
入列,2094
入口,220
入境,347
入学,616
入席,24
入彀,2372
入耳,1582
入赘,1522
全军,1419
全力以赴,2004
全心全意,1854
全新,1609
全球,207
全神贯注,1854
全能,1853
全部,146
八竿子打不着,2985
八面威风,2045
公众,58
公共场所,577
公函,1782
公布,27
公平,156
公平,599
公平交易,1947
公开,341
公德,2287
公心,3120
公有,888
公法,460
公海,517
公演,2773
公牍,1782
公用,1085
公益,754
公章,1727
公约,482
公营,1737
公诉,308
公转,2683
公道,76
六神无主,2031
共同,180
共性,39
共谋,2634
共鸣,881
关上,693
关切,880
关心,351
关怀,135
关怀,504
关注,135
关节,20
关连,41
关键,1013
关门,269
兴会,61
兴办,48
兴味,61
兴奋,742
兴工,335
兴建,1031
兴替,2818
兴衰,2818
兵书,172
兵士,1993
兵戈,482
兵戈,1282
其实,262
具体而微,379
具备,146
典型,367
典范,367
典质,1831
养尊处优,863
养父,2294
养痈遗患,2464
养虎伤身,2464
养虎遗患,2756
兼容并包,1503
兼而有之,1503
兼职,1064
兼顾,743
内力,1123
内务,49
内奸,2605
内容,20
内心,294
内政,49
内海,517
内省,927
内部,294
内里,307
冉冉,393
再三,142
再嫁,1447
再接再厉,1081
再起,484
再造,802
冒昧,1868
冒死,722
写真,2506
写稿,2820
军人,1172
军备,1972
军师,1300
军用,602
军种,1707
军装,1703
农业国,818
农事,2691
农户,1806
农民,1231
冤屈,223
冥思苦想,792
冲击,223
冲刷,2427
冲动,171
冲洗,2427
冲犯,633
冲破,491
冲要,2703
冲锋,387
决心,14
决意,208
决然,208
决算,1903
决裂,223
冷光,2774
冷天,2684
冷水,1257
冷汗,1074
冷泉,12
冷淡,1438
冷清,1656
冷漠,1438
冷若冰霜,2175
冷酷,550
冷静,831
冷飕飕,2172
冻结,223
净化,1151
净重,2807
凄凉,35
凄惨,868
准则,241
准则,327
准时,354
准时,543
准确,768
准绳,188
凉爽,2077
凉风,2951
凌乱,112
凌乱,251
凌虐,139
凌虐,223
凌驾,76
减产,1213
减价,73
减少,174
减弱,813
减法,2365
减轻,174
减速,567
凑数,2977
凝听,1691
凝视,392
凝集,1309
几乎,768
凡人,1072
凡间,19
凭据,111
凶人,1324
凶多吉少,1357
凶徒,1324
凶悍,617
凶手,1057
凶服,2912
凶残,617
凶狠,617
凶险,617
凸起,76
凹凸,1073
凹陷,1334
出丑,2420
出于无奈,1892
出亡,1216
出人意料,947
出仕,2700
出其不意,947
出口伤人,1427
出售,150
出售,993
出场,553
出头,206
出奇,655
出尔反尔,2790
出格,76
出洋,1090
出生入死,1081
出生率,2198
出神入化,1215
出色,76
出路,877
出面,140
出面,206
击败,437
函牍,95
函牍,1011
刁猾,2973
刁钻,617
分内,1661
分别,815
分割,223
分崩离析,1236
分心,3032
分散,815
分明,59
分派,814
分流,1096
分离,18
分裂,112
分解,112
分辩,112
分隔,524
切割,1156
切脉,2419
切记,781
切近,351
刊出,1828
刑场,1779
刑罚,158
划分,112
刖趾适屦,2542
列传,2795
列祖列宗,2978
刚强,208
刚毅,208
创制,48
创办,218
创建,218
初一,2812
初创,219
初学,601
初年,808
初度,1655
初春,2940
初赛,2827
判别,112
判定,157
判定,208
判定,253
判断,157
判断,208
利欲熏心,1601
利润,84
别传,50
别号,1856
别开生面,819
别有用心,1689
别树一帜,819
刮风,2870
到手,1168
制作,48
制品,1261
制定,482
制服,437
制止,223
制订,482
制造,48
刻期,17
刻毒,1438
刻骨铭心,275
剃发,1876
剃头,1876
削价,73
削弱,813
前世,1701
前功尽弃,2049
前合后仰,1311
前因后果,1081
前因后果,2884
前夕,1035
前夜,1035
前所未有,739
前方,432
前无古人,739
前景,877
前次,1335
前生,1701
前言,1843
前车可鉴,1479
前途,877
前门,687
剖析,72
剖解,1827
剥夺,1446
剧本,1014
剩余,926
副业,605
副品,1358
副手,417
副食,3009
割裂,223
剿除,914
力争,1036
力所能及,1395
力排众议,1367
劝告,328
劝导,263
劝说,408
办理,158
功亏一篑,2049
功德,673
功效,343
功烈,42
功用,629
功能,343
功课,535
功败垂成,1553
加倍,194
加入,24
加压,2003
加快,614
加热,1649
加班,2119
加薪,1739
加速,614
加重,753
务必,157
务虚,1091
动乱,251
动人,126
动听,623
动员,184
动员,187
动工,335
动弹,237
动态,1536
动怒,506
动摇,128
动摇,911
动机,1272
动物,1273
动静,225
动魄惊心,1873
助人为乐,825
助人为乐,1276
助理,417
助纣为虐,1354
努目,2033
劲头,2762
劳力,2195
劳心,2195
劳碌,1325
劳苦功高,2732
劳顿,1325
势不两立,1640
势力,162
势均力敌,1369
势必,157
势成骑虎,1010
勃兴,672
勇敢,738
勉励,171
勉强,995
勘探,1673
勘误,219
募捐,1493
勤奋,488
勾串,36
勾勒,2632
勾当,56
勾心斗角,1236
勾留,223
勾销,105
包容,122
包庇,33
包揽,1523
包罗,168
包罗,180
包裹,33
匆促,264
匆促,348
化为乌有,1692
化名,684
化缘,114
化装,471
北半球,3109
北方,665
北极,1980
北纬,1258
北边,665
北里,1103
北门,2625
匮乏,96
匹夫有责,1570
区分,112
区域,144
医生,82
十恶不赦,635
十拿九稳,875
千变万化,1361
千夫所指,621
千头万绪,1311
千头万绪,1575
千奇百怪,1409
千山万水,2782
千真万确,1670
千语万言,822
千金,3053
千钧一发,828
千锤百炼,1354
千锤百炼,2483
升格,1028
升火,1099
升空,174
半路,1578
半路出家,3010
半途而废,2049
华夏,240
华山,2838
华美,623
华美,1185
协作,180
协作,417
协助,417
协助,629
协同,180
协定,482
协谋,2634
卑劣,1078
卓识,2170
卓越,76
单刀直入,2057
单据,1190
单方面,151
单独,613
单调,490
单身,958
单轨,2607
卖劲,2129
卖国,1382
卖国,1716
卖国贼,2767
卖方,2530
南国,2102
博士买驴,2227
